"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Function","Circuit","On-State Resistance","Voltage Supply Source","Voltage - Supply, Single/Dual (±)","Current - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-REEL7CT-ND","ADG2128BCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1726,1500,"10.62700",10,1,"Cut Tape (CT)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-REEL7DKR-ND","ADG2128BCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1726,1500,"Calculate",10,1,"Digi-Reel®","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-HS-RL7CT-ND","ADG2128BCPZ-HS-RL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",2891,3000,"12.23100",10,1,"Cut Tape (CT)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-HS-RL7DKR-ND","ADG2128BCPZ-HS-RL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",2891,3000,"Calculate",10,1,"Digi-Reel®","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128YCPZ-REEL7CT-ND","ADG2128YCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1686,0,"12.46600",10,1,"Cut Tape (CT)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 125°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128YCPZ-REEL7DKR-ND","ADG2128YCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1686,0,"Calculate",10,1,"Digi-Reel®","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 125°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD75019.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","AD75019JPZ-ND","AD75019JPZ","Analog Devices Inc","IC CROSSPOINT SWIT 16X16 44PLCC",316,0,"27.08300",10,1,"Tube","-","Crosspoint Switch","1 x 16:16","300 Ohm","Single, Dual Supply","4.5 V ~ 5.5 V, ±12 V","800µA","-25°C ~ 85°C","Surface Mount","44-LCC (J-Lead)","44-PLCC (16.59x16.59)"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-17533-1-ND","TS3L301DGGR","Texas Instruments","IC ETHERNET SWITCH 16X8 48TSSOP",2042,10000,"2.70000",10,1,"Cut Tape (CT)","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-17533-6-ND","TS3L301DGGR","Texas Instruments","IC ETHERNET SWITCH 16X8 48TSSOP",2042,0,"Calculate",10,1,"Digi-Reel®","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.ti.com/lit/ds/symlink/ts3l501e.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/42-WQFN-Exposed-Pad-RUA.jpg","296-27859-1-ND","TS3L501ERUAR","Texas Instruments","IC LAN MUX/DMUX 16B TO 8B 42WQFN",2268,9000,"2.59200",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","42-WFQFN Exposed Pad","42-WQFN (3.5x9.0)"
"http://www.ti.com/lit/ds/symlink/ts3l501e.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/42-WQFN-Exposed-Pad-RUA.jpg","296-27859-6-ND","TS3L501ERUAR","Texas Instruments","IC LAN MUX/DMUX 16B TO 8B 42WQFN",2268,10001,"Calculate",10,1,"Digi-Reel®","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","42-WFQFN Exposed Pad","42-WQFN (3.5x9.0)"
"http://www.ti.com/lit/ds/symlink/ts3l500ae.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/56-VQFN-Exposed-RHU.jpg","296-22858-1-ND","TS3L500AERHUR","Texas Instruments","IC ETHERNET SWITCH 16X8 56WQFN",4936,10000,"2.46000",10,1,"Cut Tape (CT)","3L","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","56-WFQFN Exposed Pad","56-WQFN-EP (5x11)"
"http://www.ti.com/lit/ds/symlink/ts3dv416.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-21175-1-ND","TS3DV416DGGR","Texas Instruments","IC MUX/DEMUX 16X8 48TSSOP",2147,10000,"2.25000",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.ti.com/lit/ds/symlink/ts3dv416.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-21175-6-ND","TS3DV416DGGR","Texas Instruments","IC MUX/DEMUX 16X8 48TSSOP",2147,0,"Calculate",10,1,"Digi-Reel®","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8106_8107.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","AD8106ASTZ-ND","AD8106ASTZ","Analog Devices Inc","IC CROSSPOINT SWITCH 16X5 80LQFP",250,0,"27.29400",10,1,"Tray","-","Video Crosspoint Switch","1 x 16:5","-","Dual Supply","±4.5 V ~ 5.5 V","30mA","-40°C ~ 85°C","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://www.ti.com/lit/ds/symlink/lmh6583.pdf","http://media.digikey.com/Renders/National%20Semi%20Renders/VXE64A,64-TQFP.jpg","LMH6583YA/NOPB-ND","LMH6583YA/NOPB","Texas Instruments","IC CROSSPOINT SWITCH 16X8 64TQFP",170,1440,"52.84800",10,1,"Tray","-","Crosspoint Switch","1 x 16:8","-","Dual Supply","±3 V ~ 5.5 V","98mA","-40°C ~ 85°C","Surface Mount","64-TQFP Exposed Pad","64-TQFP-EP (10x10)"
"http://www.nxp.com/documents/data_sheet/HEF4067B.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-SOIC.jpg","568-3114-5-ND","HEF4067BT,652","NXP Semiconductors","IC MUX/DEMUX 4X16 24SOIC",1088,0,"2.15600",10,1,"Tube","4000B","Multiplexer/Demultiplexer","1 x 4:16","155 Ohm","Dual Supply","±3 V ~ 15 V","80µA","-40°C ~ 85°C","Surface Mount","24-SOIC (0.295"", 7.50mm Width)","24-SO"
"http://www.intersil.com/content/dam/Intersil/documents/fn27/fn2793.pdf","http://media.digikey.com/Renders/Allegro%20Microsystems%20Renders/44-LCC%20(J-Lead).jpg","CD22M3494MQZ-ND","CD22M3494MQZ","Intersil","IC CROSSPOINT SWITCH 16X8 44PLCC",909,0,"6.80000",10,1,"Tube","-","Crosspoint Switch","1 x 16:8","65 Ohm","Single Supply","4 V ~ 15 V","5mA","-40°C ~ 85°C","Surface Mount","44-LCC (J-Lead)","44-PLCC"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-34690-5-ND","TS3L301DGG","Texas Instruments","IC ETHERNET SWITCH 16X8 48TSSOP",180,7080,"3.15000",10,1,"Tube","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.intersil.com/content/dam/Intersil/documents/fn73/fn7362.pdf","http://media.digikey.com/Photos/Intersil%20Photos/MFG_356-BGA,%20V356_27X27%20PKG.jpg","EL4544IGZ-ND","EL4544IGZ","Intersil","IC CROSSPOINT VID 16X5RGB 356BGA",283,0,"52.73000",10,1,"Bulk","-","Crosspoint Switch","3 x 16:5","-","Single, Dual Supply","4.75 V ~ 5.25 V, 2.4 V ~ 3.6 V","-","-40°C ~ 85°C","Surface Mount","356-BGA","356-PBGA (27x27)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2108.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2108YCPZ-REEL7CT-ND","ADG2108YCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X10 32LFCSP",1389,0,"10.90000",10,1,"Cut Tape (CT)","-","Crosspoint Switch","1 x 8:10","50 Ohm","Single, Dual Supply","12V, ±15V","50nA","-40°C ~ 125°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2108.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2108YCPZ-REEL7DKR-ND","ADG2108YCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X10 32LFCSP",1389,0,"Calculate",10,1,"Digi-Reel®","-","Crosspoint Switch","1 x 8:10","50 Ohm","Single, Dual Supply","12V, ±15V","50nA","-40°C ~ 125°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2108.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2108BCPZ-REEL7CT-ND","ADG2108BCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X10 32LFCSP",2537,0,"10.95400",10,1,"Cut Tape (CT)","-","Crosspoint Switch","1 x 8:10","50 Ohm","Single, Dual Supply","12V, ±15V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.ti.com/lit/ds/symlink/ts3l4892.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/36-VQFN-Exposed-Pad-RHH.jpg","296-24798-1-ND","TS3L4892RHHR","Texas Instruments","IC ETHERNET SWITCH 16X8 36VQFN",10686,10001,"2.46200",10,1,"Cut Tape (CT)","3L","Multiplexer/Demultiplexer, Gigabit Ethernet LAN","1 x 16:8","6 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","36-VFQFN Exposed Pad","36-VQFN (6x6)"
"http://www.ti.com/lit/ds/symlink/ts3l4892.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/36-VQFN-Exposed-Pad-RHH.jpg","296-24798-6-ND","TS3L4892RHHR","Texas Instruments","IC ETHERNET SWITCH 16X8 36VQFN",10686,0,"Calculate",10,1,"Digi-Reel®","3L","Multiplexer/Demultiplexer, Gigabit Ethernet LAN","1 x 16:8","6 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","36-VFQFN Exposed Pad","36-VQFN (6x6)"
"http://www.ti.com/lit/ds/symlink/ts2pcie412.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/42-WQFN-Exposed-Pad-RUA.jpg","296-24227-1-ND","TS2PCIE412RUAR","Texas Instruments","IC PCIE MUX/DMUX 4CH 8:16 42-QFN",1474,9000,"2.46200",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer, PCIE","1 x 8:16","18 Ohm","Single Supply","1.5 V ~ 2 V","200µA","0°C ~ 85°C","Surface Mount","42-WFQFN Exposed Pad","42-WQFN (3.5x9.0)"
"http://www.ti.com/lit/ds/symlink/ts2pcie412.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/42-WQFN-Exposed-Pad-RUA.jpg","296-24227-6-ND","TS2PCIE412RUAR","Texas Instruments","IC PCIE MUX/DMUX 4CH 8:16 42-QFN",1474,0,"Calculate",10,1,"Digi-Reel®","-","Multiplexer/Demultiplexer, PCIE","1 x 8:16","18 Ohm","Single Supply","1.5 V ~ 2 V","200µA","0°C ~ 85°C","Surface Mount","42-WFQFN Exposed Pad","42-WQFN (3.5x9.0)"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TVSOP-DGV.jpg","296-17534-1-ND","TS3L301DGVR","Texas Instruments","IC ETHERNET SWITCH 16X8 48TVSOP",12382,2000,"3.09600",10,1,"Cut Tape (CT)","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.173"", 4.40mm Width)","48-TVSOP"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TVSOP-DGV.jpg","296-17534-6-ND","TS3L301DGVR","Texas Instruments","IC ETHERNET SWITCH 16X8 48TVSOP",12382,0,"Calculate",10,1,"Digi-Reel®","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.173"", 4.40mm Width)","48-TVSOP"
