"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Function","Circuit","On-State Resistance","Voltage Supply Source","Voltage - Supply, Single/Dual (±)","Current - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"http://www.ti.com/lit/ds/symlink/lmh6584.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","296-39689-ND","LMH6585VV/NOPB","Texas Instruments","IC CROSSPOINT SWIT 32X16 144LQFP",220,0,"201.20400",10,1,"Tray","-","Crosspoint Switch","1 x 32:16","-","Dual Supply","±3 V ~ 5.5 V","189mA","-40°C ~ 85°C","Surface Mount","144-LQFP","144-LQFP (20x20)"
"http://www.st.com/web/en/resource/technical/document/datasheet/CD00203637.pdf","http://media.digikey.com/Renders/STMicro%20Renders/56-QFN-EP%20(5x11).jpg","497-9079-1-ND","STMUX1800LQTR","STMicroelectronics","IC MUX/DEMUX 16X8 56QFN",7242,0,"2.44800",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer","1 x 16:8","6.5 Ohm","Single Supply","3 V ~ 3.6 V","150µA","-40°C ~ 85°C","Surface Mount","56-WFQFN Exposed Pad","56-QFN (11x5)"
"http://www.st.com/web/en/resource/technical/document/datasheet/CD00256013.pdf","-","497-10446-1-ND","STMUX1800EQTR","STMicroelectronics","IC MUX/DEMUX 16X8 42QFN",2342,0,"2.72200",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer","1 x 16:8","6.5 Ohm","Single Supply","3 V ~ 3.6 V","150µA","-40°C ~ 85°C","Surface Mount","42-WFQFN Exposed Pad","42-QFN-EP (3.5x9)"
"http://datasheets.maximintegrated.com/en/ds/MAX14661.pdf","http://media.digikey.com/renders/Maxim%20Renders/28-TQFN_21-0139H.jpg","MAX14661ETI+-ND","MAX14661ETI+","Maxim Integrated","IC MULTIPLEXER 16:2 TQFN",275,7206,"4.29000",10,1,"Tube","-","Multiplexer","1 x 16:2","8 Ohm","Single Supply","1.6 V ~ 5.5 V","675µA","-40°C ~ 85°C","Surface Mount","28-WFQFN Exposed Pad","28-TQFN (4x4)"
"http://www.intersil.com/content/dam/Intersil/documents/fn74/fn7432.pdf","http://media.digikey.com/Renders/Intersil%20Renders/356-BGA,L356.jpg","ISL59532IKEZ-ND","ISL59532IKEZ","Intersil","IC CROSSPOINT SW 32X32 356BGA",50,0,"165.30000",10,1,"Tray","-","Video Crosspoint Switch","1 x 32:32","-","Single Supply","4.5 V ~ 5.5 V","640mA","-40°C ~ 85°C","Surface Mount","356-BBGA Exposed Pad","356-HPBGA (27x27)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8114_8115.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","AD8114ASTZ-ND","AD8114ASTZ","Analog Devices Inc","IC VIDEO CROSSPOINT SWIT 100LQFP",6,0,"98.22500",10,1,"Tray","-","Video Crosspoint Switch","1 x 16:16","-","Dual Supply","±4.5 V ~ 5.5 V","70mA","-40°C ~ 85°C","Surface Mount","100-LQFP","100-LQFP (14x14)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8110_8111.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","AD8111ASTZ-ND","AD8111ASTZ","Analog Devices Inc","IC VIDEO CROSSPOINT SWIT 80LQFP",26,3605,"51.17800",10,1,"Tube","-","Video Crosspoint Switch","1 x 16:8","-","Dual Supply","±4.5 V ~ 5.5 V","38mA","-40°C ~ 85°C","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8112.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","AD8112JSTZ-ND","AD8112JSTZ","Analog Devices Inc","IC CROSSPOINT SWIT 16X8 100LQFP",7,301,"21.33600",10,1,"Tray","-","Audio/Video Crosspoint Switch","1 x 16:8","-","Single, Dual Supply","4.5 V ~ 5.5 V, ±2.25 V ~ 6.3 V","50mA","0°C ~ 70°C","Surface Mount","100-LQFP","100-LQFP (14x14)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8110_8111.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-LQFP.jpg","AD8110ASTZ-ND","AD8110ASTZ","Analog Devices Inc","IC VIDEO CROSSPOINT SWIT 80LQFP",18,971,"51.17800",10,1,"Tray","-","Video Crosspoint Switch","1 x 16:8","-","Dual Supply","±4.5 V ~ 5.5 V","38mA","-40°C ~ 85°C","Surface Mount","80-LQFP","80-LQFP (12x12)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3224_3225.pdf","http://media.digikey.com/Photos/Analog%20Devices%20Photos/ADV3224ACPZ.jpg","ADV3224ACPZ-ND","ADV3224ACPZ","Analog Devices Inc","IC CROSSPOINT SW 16X8 72LFCSP",6,2569,"59.50800",10,1,"Tray","-","Crosspoint Switch","1 x 16:8","-","Dual Supply","±5V","52mA","-40°C ~ 85°C","Surface Mount","72-VFQFN Exposed Pad, CSP","72-LFCSP-VQ (10x10)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8114_8115.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","AD8115ASTZ-ND","AD8115ASTZ","Analog Devices Inc","IC VIDEO CROSSPOINT SWIT 100LQFP",12,900,"98.22500",10,1,"Tray","-","Video Crosspoint Switch","1 x 16:16","-","Dual Supply","±4.5 V ~ 5.5 V","80mA","-40°C ~ 85°C","Surface Mount","100-LQFP","100-LQFP (14x14)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3226_3227.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/CP-100-1.jpg","ADV3227ACPZ-ND","ADV3227ACPZ","Analog Devices Inc","IC CROSSPOINT SW 16X16 100LFCSP",2,0,"106.37100",10,1,"Tray","-","Crosspoint Switch","1 x 16:16","-","Dual Supply","±5V","125mA","-40°C ~ 85°C","Surface Mount","100-VFQFN Exposed Pad, CSP","100-LFCSP-VQ (12x12)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8175.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/B-676.jpg","AD8175ABPZ-ND","AD8175ABPZ","Analog Devices Inc","IC CROSSPOINT SWITCH TRPL 676BGA",2,268,"130.60600",10,1,"Tube","-","Crosspoint Switch","3 x 16:9","-","Single, Dual Supply","4.5 V ~ 5.5 V, ±2.5V","600mA","-40°C ~ 85°C","Surface Mount","676-BGA","676-BGA (27x27)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3200_ADV3201.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/SW-176-1.jpg","ADV3201ASWZ-ND","ADV3201ASWZ","Analog Devices Inc","IC CROSSPOINT SWIT 32X32 176LQFP",3,236,"136.86800",10,1,"Tray","-","Crosspoint Switch","1 x 32:32","-","Single, Dual Supply","5V, ±2.5V, ±3.3V","260mA","-40°C ~ 85°C","Surface Mount","176-LQFP Exposed Pad","176-LQFP-EP (24x24)"
"-","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-SOIC.jpg","568-8237-1-ND","HEF4067BT,653","NXP Semiconductors","IC MUX/DEMUX 4X16 24SOIC",347,0,"2.21800",10,1,"Cut Tape (CT)","4000B","Multiplexer/Demultiplexer","1 x 4:16","155 Ohm","Dual Supply","±3 V ~ 15 V","80µA","-40°C ~ 85°C","Surface Mount","24-SOIC (0.295"", 7.50mm Width)","24-SO"
"-","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/24-SOIC.jpg","568-8237-6-ND","HEF4067BT,653","NXP Semiconductors","IC MUX/DEMUX 4X16 24SOIC",347,0,"Calculate",10,1,"Digi-Reel®","4000B","Multiplexer/Demultiplexer","1 x 4:16","155 Ohm","Dual Supply","±3 V ~ 15 V","80µA","-40°C ~ 85°C","Surface Mount","24-SOIC (0.295"", 7.50mm Width)","24-SO"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3226_3227.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/CP-100-1.jpg","ADV3226ACPZ-ND","ADV3226ACPZ","Analog Devices Inc","IC CROSSPOINT SW 16X16 100LFCSP",5,62,"106.37100",10,1,"Tube","-","Crosspoint Switch","1 x 16:16","-","Dual Supply","±5V","110mA","-40°C ~ 85°C","Surface Mount","100-VFQFN Exposed Pad, CSP","100-LFCSP-VQ (12x12)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3202_3203.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/SW-176-1.jpg","ADV3203ASWZ-ND","ADV3203ASWZ","Analog Devices Inc","IC CROSSPOINT SWIT 32X16 176LQFP",2,223,"93.60000",10,1,"Tray","-","Crosspoint Switch","1 x 32:16","-","Single, Dual Supply","5V, ±2.5V, ±3.3V","200mA","-40°C ~ 85°C","Surface Mount","176-LQFP","176-LQFP-EP (24x24)"
"http://www.ti.com/lit/ds/symlink/ts3l500.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/56-VQFN-Exposed-RHU.jpg","296-21178-1-ND","TS3L500RHUR","Texas Instruments","IC ETHERNET SWITCH 16X8 56WQFN",889,0,"2.59200",10,1,"Cut Tape (CT)","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","56-WFQFN Exposed Pad","56-WQFN-EP (5x11)"
"http://www.ti.com/lit/ds/symlink/ts3l500.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/56-VQFN-Exposed-RHU.jpg","296-21178-6-ND","TS3L500RHUR","Texas Instruments","IC ETHERNET SWITCH 16X8 56TQFN",889,271,"Calculate",10,1,"Digi-Reel®","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","56-WFQFN Exposed Pad","56-WQFN-EP (5x11)"
"http://www.ti.com/lit/ds/symlink/ts3dv416.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TVSOP-DGV.jpg","296-21176-1-ND","TS3DV416DGVR","Texas Instruments","IC MUX/DEMUX 16X8 48TVSOP",633,10000,"2.59200",10,1,"Cut Tape (CT)","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.173"", 4.40mm Width)","48-TVSOP"
"http://www.ti.com/lit/ds/symlink/ts3dv416.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TVSOP-DGV.jpg","296-21176-6-ND","TS3DV416DGVR","Texas Instruments","IC MUX/DEMUX 16X8 48TVSOP",633,0,"Calculate",10,1,"Digi-Reel®","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.173"", 4.40mm Width)","48-TVSOP"
"http://www.ti.com/lit/ds/symlink/lmh6586.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/80-TQFP,%2080-VQFP.jpg","LMH6586VS/NOPB-ND","LMH6586VS/NOPB","Texas Instruments","IC CROSSPOINT SWIT 32X16 80TQFP",60,1190,"61.63200",10,1,"Tray","-","Crosspoint Switch","1 x 32:16","150 Ohm","Single Supply","4.5 V ~ 5.5 V","300mA","-40°C ~ 85°C","Surface Mount","80-TQFP","80-TQFP"
"http://www.analog.com/media/en/technical-documentation/data-sheets/AD8113.pdf","http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","AD8113JSTZ-ND","AD8113JSTZ","Analog Devices Inc","IC VIDEO CROSSPOINT SWIT 100LQFP",4,1710,"43.32300",10,1,"Tray","-","Audio/Video Crosspoint Switch","1 x 16:16","-","Single, Dual Supply","4.5 V ~ 5.5 V, ±2.25 V ~ 6.3 V","50mA","0°C ~ 70°C","Surface Mount","100-LQFP","100-LQFP (14x14)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADV3200_ADV3201.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/SW-176-1.jpg","ADV3200ASWZ-ND","ADV3200ASWZ","Analog Devices Inc","IC CROSSPOINT SWIT 32X32 176LQFP",1,296,"136.86800",10,1,"Tray","-","Crosspoint Switch","1 x 32:32","-","Single, Dual Supply","5V, ±2.5V, ±3.3V","250mA","-40°C ~ 85°C","Surface Mount","176-LQFP","176-LQFP-EP (24x24)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-REEL7TR-ND","ADG2128BCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1500,1500,"6.86081",0,1500,"Tape & Reel (TR)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128BCPZ-HS-RL7TR-ND","ADG2128BCPZ-HS-RL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1500,3000,"7.89687",0,1500,"Tape & Reel (TR)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.analog.com/media/en/technical-documentation/data-sheets/ADG2128.pdf","http://media.digikey.com/Renders/Analog%20Devices%20Renders/32LFCSP.jpg","ADG2128YCPZ-REEL7TR-ND","ADG2128YCPZ-REEL7","Analog Devices Inc","IC CROSSPOINT SWIT 8X12 32LFCSP",1500,0,"8.04849",0,1500,"Tape & Reel (TR)","-","Crosspoint Switch","1 x 8:12","50 Ohm","Single, Dual Supply","12V, ±5V","50nA","-40°C ~ 125°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
"http://www.ti.com/lit/ds/symlink/ts3l301.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-17533-2-ND","TS3L301DGGR","Texas Instruments","IC ETHERNET SWITCH 16X8 48TSSOP",2000,10000,"1.56000",0,2000,"Tape & Reel (TR)","3L","Ethernet Switch","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.ti.com/lit/ds/symlink/ts3l500ae.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/56-VQFN-Exposed-RHU.jpg","296-22858-2-ND","TS3L500AERHUR","Texas Instruments","IC ETHERNET SWITCH 16X8 56WQFN",2000,10000,"1.06875",0,2000,"Tape & Reel (TR)","3L","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","56-WFQFN Exposed Pad","56-WQFN-EP (5x11)"
"http://www.ti.com/lit/ds/symlink/ts3dv416.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/48-TSSOP-DGG.jpg","296-21175-2-ND","TS3DV416DGGR","Texas Instruments","IC MUX/DEMUX 16X8 48TSSOP",2000,10000,"1.19000",0,2000,"Tape & Reel (TR)","-","Multiplexer/Demultiplexer","1 x 16:8","8 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","48-TFSOP (0.240"", 6.10mm Width)","48-TSSOP"
"http://www.ti.com/lit/ds/symlink/ts3l4892.pdf","http://media.digikey.com/Renders/Texas%20Instr%20Renders/36-VQFN-Exposed-Pad-RHH.jpg","296-24798-2-ND","TS3L4892RHHR","Texas Instruments","IC ETHERNET SWITCH 16X8 36VQFN",2500,10000,"1.06875",0,2500,"Tape & Reel (TR)","3L","Multiplexer/Demultiplexer, Gigabit Ethernet LAN","1 x 16:8","6 Ohm","Single Supply","3 V ~ 3.6 V","250µA","-40°C ~ 85°C","Surface Mount","36-VFQFN Exposed Pad","36-VQFN (6x6)"
